iter	Passed	Remaining
937	2084	137
938	2086	135
939	2087	133
940	2088	130
941	2089	128
942	2090	126
943	2091	124
944	2096	121
945	2097	119
946	2099	117
947	2100	115
948	2101	112
949	2102	110
950	2103	108
951	2104	106
952	2105	103
953	2106	101
954	2109	99
955	2110	97
956	2111	94
957	2112	92
958	2113	90
959	2114	88
960	2115	85
961	2117	83
962	2118	81
963	2119	79
964	2120	76
965	2121	74
966	2124	72
967	2125	70
968	2127	68
969	2127	65
970	2128	63
971	2129	61
972	2130	59
973	2131	56
974	2132	54
975	2133	52
976	2133	50
977	2134	48
978	2138	45
979	2139	43
980	2140	41
981	2141	39
982	2143	37
983	2144	34
984	2145	32
985	2146	30
986	2147	28
987	2148	26
988	2149	23
989	2151	21
990	2152	19
991	2153	17
992	2154	15
993	2155	13
994	2156	10
995	2157	8
996	2158	6
997	2158	4
998	2159	2
999	2160	0
